,names,numbers
0,Arctic Ocean,0
1,SOUTHERN OCEAN,1
2,North Atlantic Ocean,2
3,North Pacific Ocean,3
4,South Pacific Ocean,4
5,INDIAN OCEAN,5
6,South Atlantic Ocean,6
7,Black Sea,7
8,Philippine Sea,8
9,Coral Sea,9
10,Tasman Sea,10
11,Bay of Bengal,11
12,South China Sea,12
13,Sea of Japan,13
14,Mediterranean Sea Eastern Basin,14
15,Arabian Sea,15
16,Beaufort Sea,16
17,Caribbean Sea,17
18,Gulf of Mexico,18
19,Labrador Sea,19
20,Hudson Bay,20
21,Caspian Sea,21
22,Baffin Bay,22
23,Gulf of Alaska,23
24,Red Sea,24
25,Sea of Okhotsk,25
26,Ross Sea Eastern Basin,26
27,Weddell Sea,27
28,Persian Gulf,28
29,Ross Sea Western Basin,29
30,Mediterranean Sea Western Basin,30
31,Celebes Sea,31
32,Sulu Sea,32
33,Norwegian Sea,33
34,Greenland Sea,34
35,Banda Sea,35
36,Luzon Strait,36
37,Bay of Biscay,37
38,Mozambique Channel,38
39,Gulf of Guinea,39
40,Scotia Sea,40
41,Baltic Sea,41
42,Barents Sea,42
43,North Sea,43
44,Irish Sea,44
45,Java Sea,45
46,Andaman Sea,46
47,Yellow Sea,47
48,East China Sea,48
49,Chukchi Sea,49
50,Bahía de Campeche,50
51,Arafura Sea,51
52,Timor Sea,52
53,Gulf of Thailand,53
54,Laccadive Sea,54
55,Bellingshausen Sea,55
56,Amundsen Sea,56
57,Davis Strait,57
58,Kara Sea,58
59,Laptev Sea,59
60,Drake Passage,60
61,Bering Sea,61
62,Sargasso Sea,62
63,Great Australian Bight,63
64,Gulf of Aden,64
65,Gulf of Oman,65
66,Tyrrhenian Sea,66
67,White Sea,67
68,James Bay,68
69,Gulf of Carpentaria,69
70,Golfo de California,70
71,Hudson Strait,71
72,English Channel,72
73,Gulf of Honduras,73
74,Gulf of Bothnia,74
75,Adriatic Sea,75
76,Bristol Channel,76
77,Inner Seas,77
78,Gulf of Finland,78
79,Golfe du Lion,79
80,Straits of Florida,80
81,Bay of Plenty,81
82,The North Western Passages,82
83,Ionian Sea,83
84,Gulf of Saint Lawrence,84
85,Molucca Sea,85
86,Bismarck Sea,86
87,Solomon Sea,87
88,Gulf of Tonkin,88
89,Bay of Fundy,89
90,Río de la Plata,90
91,Strait of Malacca,91
92,Strait of Singapore,92
93,Makassar Strait,93
94,Ceram Sea,94
95,Korea Strait,95
96,Inner Sea,96
97,Taiwan Strait,97
98,Cook Inlet,98
99,Bristol Bay,99
100,Melville Bay,100
101,Gulf of Maine,101
102,Chesapeake Bay,102
103,Strait of Gibraltar,103
104,Golfo San Jorge,104
105,Balearic Sea,105
106,Aegean Sea,106
107,Gulf of Mannar,107
108,Shelikhova Gulf,108
109,Bo Hai,109
110,Gulf of Kutch,110
111,Golfo de Panamá,111
112,Amundsen Gulf,112
113,Viscount Melville Sound,113
114,Ungava Bay,114
115,Great Barrier Reef,115
116,Amazon River,116
117,Yangtze River,117
118,Columbia River,118
